local_item_id,category_id,item_key,brand,image_url,external_link,external_service,is_active,created_at,updated_at
936,4,coffee_tokyo_lungo,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/tokyo_lungo,NESPRESSO,t,2026-02-23 10:39:14.802243,2026-02-23 10:39:14.802243
937,4,coffee_shanghai_lungo,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/shanghai_lungo,NESPRESSO,t,2026-02-23 10:39:14.804033,2026-02-23 10:39:14.804033
938,4,coffee_cape_town_lungo,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/cape_town_lungo,NESPRESSO,t,2026-02-23 10:39:14.808255,2026-02-23 10:39:14.808255
939,4,coffee_stockholm_lungo,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/stockholm_lungo,NESPRESSO,t,2026-02-23 10:39:14.814056,2026-02-23 10:39:14.814056
940,4,coffee_vienna_lungo,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/vienna_lungo,NESPRESSO,t,2026-02-23 10:39:14.818291,2026-02-23 10:39:14.818291
941,4,coffee_buenos_aires_lungo,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/buenos_aires_lungo,NESPRESSO,t,2026-02-23 10:39:14.821034,2026-02-23 10:39:14.821034
942,4,coffee_capriccio,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/capriccio,NESPRESSO,t,2026-02-23 10:39:14.823635,2026-02-23 10:39:14.823635
943,4,coffee_cosi,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/cosi,NESPRESSO,t,2026-02-23 10:39:14.828484,2026-02-23 10:39:14.828484
944,4,coffee_india,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/india,NESPRESSO,t,2026-02-23 10:39:14.830896,2026-02-23 10:39:14.830896
945,4,coffee_indonesia,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/indonesia,NESPRESSO,t,2026-02-23 10:39:14.834225,2026-02-23 10:39:14.834225
946,4,coffee_nicaragua,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/nicaragua,NESPRESSO,t,2026-02-23 10:39:14.836799,2026-02-23 10:39:14.836799
947,4,coffee_ethiopia,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/ethiopia,NESPRESSO,t,2026-02-23 10:39:14.839214,2026-02-23 10:39:14.839214
948,4,coffee_ristretto_classico_vertuo,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/ristretto_classico_vertuo,NESPRESSO,t,2026-02-23 10:39:14.846389,2026-02-23 10:39:14.846389
949,4,coffee_fortado_decaffeinato_vertuo,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/fortado_decaffeinato_vertuo,NESPRESSO,t,2026-02-23 10:39:14.848169,2026-02-23 10:39:14.848169
950,4,coffee_costa_rica_vertuo,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/costa_rica_vertuo,NESPRESSO,t,2026-02-23 10:39:14.850321,2026-02-23 10:39:14.850321
